local_day,day_index,date,price,real_price,log_return,aggregate_action,total_demand,active_agents,alive_agents,best_bid,best_ask,spread,mid_price,num_fills,mean_action_lstm,mean_action_gru,mean_action_cnn,mean_action_mlp,mean_action_momentum,mean_action_value,mean_action_random,mean_action_band_low,mean_action_band_mid,mean_action_band_high
52,671,2014-02-05,148.8797406851043,146.4,-0.012450966631647046,-1.3933333333333333,-1.3933333333333333,142,300,150.74502557110898,150.74502557110898,0.0,150.74502557110898,0,0.2222222222222222,-0.5555555555555556,0.3333333333333333,0.8888888888888888,-0.95,-3.11,-0.3125,-0.08333333333333333,0.5,0.25
53,672,2014-02-06,147.88651521996903,147.5,-0.006693679984525569,-1.2466666666666666,-1.2466666666666666,159,300,148.8797406851043,148.8797406851043,0.0,148.8797406851043,0,-0.3333333333333333,-1.2222222222222223,1.0,0.4444444444444444,-0.14,-3.5,-0.140625,0.5,-0.6666666666666666,0.08333333333333333
54,673,2014-02-07,146.6011648143069,148.05,-0.008729455628438638,-1.2133333333333334,-1.2133333333333334,157,300,147.88651521996903,147.88651521996903,0.0,147.88651521996903,0,-0.1111111111111111,-1.2222222222222223,1.6666666666666667,0.4444444444444444,-0.01,-3.41,-0.453125,0.25,0.16666666666666666,0.16666666666666666
55,674,2014-02-10,144.9207260404973,148.25,-0.01152885899404278,-1.27,-1.27,158,300,146.6011648143069,146.6011648143069,0.0,146.6011648143069,0,-0.5555555555555556,-0.2222222222222222,1.4444444444444444,0.6666666666666666,-0.1,-3.69,-0.21875,0.3333333333333333,0.16666666666666666,0.5
56,675,2014-02-11,143.6767848029619,146.05,-0.00862064913571857,-1.2066666666666668,-1.2066666666666668,153,300,144.9207260404973,144.9207260404973,0.0,144.9207260404973,0,0.1111111111111111,-0.4444444444444444,1.4444444444444444,0.5555555555555556,-0.32,-3.43,-0.03125,0.6666666666666666,0.3333333333333333,0.25
57,676,2014-02-12,142.45994535292573,144.15,-0.008505351864338689,-1.17,-1.17,143,300,143.6767848029619,143.6767848029619,0.0,143.6767848029619,0,0.0,-0.1111111111111111,2.6666666666666665,0.7777777777777778,-0.98,-2.97,0.21875,0.8333333333333334,0.4166666666666667,1.25
58,677,2014-02-13,140.84328248772295,147.05,-0.01141307443709115,-1.6833333333333333,-1.6833333333333333,156,300,142.45994535292573,142.45994535292573,0.0,142.45994535292573,0,-0.1111111111111111,-0.5555555555555556,1.2222222222222223,0.7777777777777778,-1.17,-3.76,-0.375,0.3333333333333333,0.08333333333333333,0.5833333333333334
59,678,2014-02-14,140.34780996741324,151.2,-0.0035241019106859606,-0.7466666666666667,-0.7466666666666667,151,300,140.84328248772295,140.84328248772295,0.0,140.84328248772295,0,0.0,-1.0,1.4444444444444444,0.6666666666666666,0.96,-3.09,-0.328125,0.25,0.4166666666666667,0.16666666666666666
60,679,2014-02-17,140.14031869763028,159.65,-0.0014795015291311463,0.13333333333333333,0.13333333333333333,160,300,140.34780996741324,140.34780996741324,0.0,140.34780996741324,0,0.1111111111111111,-0.3333333333333333,2.0,0.7777777777777778,1.83,-1.51,-0.234375,0.8333333333333334,0.5833333333333334,0.5
61,680,2014-02-18,142.23404953508472,164.1,0.014829739836031463,2.1533333333333333,2.1533333333333333,155,300,140.14031869763028,140.14031869763028,0.0,140.14031869763028,0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.8888888888888888,3.16,3.15,-0.171875,0.5833333333333334,0.6666666666666666,0.9166666666666666
62,681,2014-02-19,144.4790225987497,164.8,0.015660387773632108,2.25,2.25,158,300,142.23404953508472,142.23404953508472,0.0,142.23404953508472,0,0.3333333333333333,0.2222222222222222,2.7777777777777777,1.6666666666666667,1.64,4.33,0.515625,1.9166666666666667,0.75,1.0833333333333333
63,682,2014-02-20,146.17572569548994,167.25,0.011675173928813216,1.6133333333333333,1.6133333333333333,149,300,144.4790225987497,144.4790225987497,0.0,144.4790225987497,0,0.8888888888888888,0.8888888888888888,1.4444444444444444,0.6666666666666666,1.24,3.05,0.3125,0.75,1.0,1.1666666666666667
64,683,2014-02-21,147.9797108483154,164.5,0.012265676888057754,1.88,1.88,147,300,146.17572569548994,146.17572569548994,0.0,146.17572569548994,0,0.5555555555555556,0.1111111111111111,1.4444444444444444,1.5555555555555556,1.38,3.72,0.328125,0.9166666666666666,0.4166666666666667,1.4166666666666667
65,684,2014-02-24,149.03697451569303,159.0,0.00711925076925407,1.2966666666666666,1.2966666666666666,161,300,147.9797108483154,147.9797108483154,0.0,147.9797108483154,0,0.6666666666666666,0.6666666666666666,1.8888888888888888,1.6666666666666667,-0.61,3.85,0.328125,1.25,1.4166666666666667,1.0
66,685,2014-02-25,149.1341626543964,160.75,0.0006518950363042398,0.59,0.59,138,300,149.03697451569303,149.03697451569303,0.0,149.03697451569303,0,0.1111111111111111,0.1111111111111111,1.5555555555555556,0.6666666666666666,-1.53,2.98,0.15625,0.6666666666666666,0.4166666666666667,0.75
67,686,2014-02-26,150.84234008139754,167.25,0.011388864626538046,1.5833333333333333,1.5833333333333333,140,300,149.1341626543964,149.1341626543964,0.0,149.1341626543964,0,0.3333333333333333,0.5555555555555556,1.4444444444444444,0.5555555555555556,1.08,3.19,0.34375,0.25,0.75,1.1666666666666667
68,687,2014-02-28,153.28207801327844,171.65,0.016044685170696165,2.29,2.29,154,300,150.84234008139754,150.84234008139754,0.0,150.84234008139754,0,0.3333333333333333,0.2222222222222222,1.7777777777777777,1.2222222222222223,2.26,3.96,0.515625,1.0833333333333333,0.5,1.0833333333333333
69,688,2014-03-03,155.5856638707235,175.45,0.01491660188609145,2.36,2.36,150,300,153.28207801327844,153.28207801327844,0.0,153.28207801327844,0,1.6666666666666667,0.7777777777777778,1.5555555555555556,0.8888888888888888,2.23,4.16,0.390625,1.6666666666666667,1.25,0.75
70,689,2014-03-04,157.0069193168826,176.9,0.00909340346648874,1.79,1.79,137,300,155.5856638707235,155.5856638707235,0.0,155.5856638707235,0,1.2222222222222223,1.7777777777777777,1.4444444444444444,1.6666666666666667,1.73,3.15,-0.09375,0.8333333333333334,1.8333333333333333,1.9166666666666667
71,690,2014-03-05,159.15182103154996,179.15,0.01356871943747847,1.8066666666666666,1.8066666666666666,160,300,157.0069193168826,157.0069193168826,0.0,157.0069193168826,0,0.2222222222222222,0.4444444444444444,2.5555555555555554,0.4444444444444444,1.03,3.82,0.375,1.0833333333333333,1.0,0.6666666666666666
